Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-May-2019,1266.30,1292.10,1266.30,1284.80,1285.921225569685072970,11717,438,15067139.00,1301,11.10,25.80,18.50
28-May-2019,1274.00,1280.25,1266.95,1268.80,1271.393186738065398199,8777,589,11159018.00,1400,15.95,13.30,-5.20
27-May-2019,1275.00,1281.75,1264.00,1278.05,1275.759551440865823445,7669,375,9783800.00,1693,22.08,17.75,3.05
24-May-2019,1278.75,1278.75,1264.20,1268.95,1266.967607672819399203,5526,309,7001263.00,1260,22.80,14.55,-9.80
23-May-2019,1285.55,1296.25,1273.15,1277.85,1285.482443482443482443,6237,351,8017554.00,1394,22.35,23.10,-7.70
22-May-2019,1286.90,1289.00,1270.05,1283.30,1280.725176983118533309,5509,324,7055515.00,2332,42.33,18.95,-3.60
21-May-2019,1266.55,1301.85,1263.65,1289.20,1291.145543688821078977,58333,1055,75316393.00,5309,9.10,38.20,22.65
20-May-2019,1270.05,1279.30,1263.65,1272.15,1271.588312027132794156,3833,190,4873998.00,1395,36.39,15.65,2.10
17-May-2019,1264.75,1277.50,1257.10,1260.95,1264.551503914297486608,4854,254,6138133.00,965,19.88,20.40,-3.80
16-May-2019,1261.55,1273.90,1251.50,1267.15,1264.985749910936943355,2807,137,3550815.00,302,10.76,22.40,5.60
15-May-2019,1252.00,1266.75,1252.00,1257.80,1259.702916160388821385,9876,404,12440826.00,1825,18.48,14.75,5.80
14-May-2019,1246.00,1259.15,1242.15,1252.70,1251.369206485865977902,6969,312,8720792.00,1823,26.16,17.00,6.70
13-May-2019,1246.00,1260.00,1241.80,1247.35,1249.619307535641547861,36825,419,46017231.00,1371,3.72,18.20,1.35
10-May-2019,1240.50,1251.00,1238.45,1245.65,1240.070807762481340189,301450,414,373819345.00,296308,98.29,12.55,5.15
9-May-2019,1233.00,1238.45,1228.50,1230.55,1232.137707509881422924,6325,368,7793271.00,2018,31.91,9.95,-2.45
8-May-2019,1247.50,1249.90,1230.25,1235.65,1237.981548914701873588,49157,855,60855459.00,2790,5.68,19.65,-11.85
7-May-2019,1269.80,1269.80,1253.70,1255.80,1258.871829787234042553,5875,319,7395872.00,1582,26.93,16.10,-14.00
6-May-2019,1250.00,1274.45,1247.95,1260.10,1262.643455552439708356,57056,1072,72041385.00,3922,6.87,26.50,10.10
3-May-2019,1290.00,1290.00,1248.20,1268.30,1262.622960859640331830,35922,1051,45355942.00,3331,9.27,41.80,-21.70
2-May-2019,1282.00,1296.75,1273.35,1283.00,1284.186609028511087645,30304,660,38915991.00,2771,9.14,23.40,1.00
30-April-2019,1313.45,1313.45,1287.35,1295.05,1293.853332795351839896,49568,1061,64133722.00,3530,7.12,26.10,-18.40
26-April-2019,1307.80,1319.90,1295.30,1312.65,1307.051826094660140417,45151,774,59014697.00,2215,4.91,24.60,4.85
25-April-2019,1307.20,1310.00,1294.95,1300.70,1301.922266139657444005,4554,249,5928954.00,1048,23.01,15.05,-6.50
24-April-2019,1304.25,1314.00,1299.25,1310.50,1308.847015266477740195,65634,1382,85904865.00,2543,3.87,14.75,6.25
23-April-2019,1317.70,1318.55,1299.80,1302.55,1307.205903021784961349,4269,240,5580462.00,1219,28.55,18.75,-15.15
22-April-2019,1292.05,1321.40,1292.05,1316.15,1315.660633484162895927,5967,385,7850547.00,1319,22.10,29.35,24.10
18-April-2019,1298.70,1319.35,1293.30,1311.70,1311.245371709574775817,13828,564,18131901.00,2088,15.10,26.05,13.00
16-April-2019,1290.00,1305.50,1290.00,1296.55,1297.343860143803750176,14186,410,18404120.00,2550,17.98,15.50,6.55
15-April-2019,1290.00,1306.10,1290.00,1295.80,1296.617332382310984308,16824,568,21814290.00,6686,39.74,16.10,5.80
12-April-2019,1293.00,1302.05,1293.00,1297.15,1297.672536043488536988,8462,286,10980905.00,1520,17.96,9.05,4.15
11-April-2019,1300.00,1304.20,1291.50,1295.85,1295.452060404402354747,19535,939,25306656.00,7042,36.05,12.70,-4.15
10-April-2019,1276.00,1309.55,1276.00,1296.70,1299.296798728573050289,17618,763,22891011.00,3100,17.60,33.55,20.70
9-April-2019,1301.50,1305.00,1285.40,1298.20,1294.036525403886677593,34168,1411,44214640.00,6330,18.53,19.60,-3.30
8-April-2019,1354.80,1354.80,1295.35,1301.05,1311.608403443393923613,61451,3150,80599648.00,10367,16.87,59.45,-53.75
5-April-2019,1320.00,1359.75,1320.00,1349.50,1344.711157315805358999,29819,1140,40097942.00,3105,10.41,39.75,29.50
4-April-2019,1360.00,1360.00,1319.00,1329.90,1328.415012899384798571,20156,1153,26775533.00,8967,44.49,41.00,-30.10
3-April-2019,1349.80,1362.45,1333.15,1339.60,1347.632438316400580551,13780,782,18570375.00,2433,17.66,29.30,-10.20
2-April-2019,1330.00,1359.85,1330.00,1349.80,1353.068983565372134408,47765,1727,64629340.00,6898,14.44,29.85,19.80
1-April-2019,1325.00,1345.95,1325.00,1335.90,1335.881881487320982788,7611,505,10167397.00,1635,21.48,20.95,10.90
29-March-2019,1325.00,1351.95,1322.00,1325.05,1338.235517136791022141,19782,710,26472975.00,3385,17.11,29.95,0.05
28-March-2019,1310.00,1338.00,1310.00,1328.45,1330.543258188005104210,23510,890,31281072.00,3335,14.19,28.00,18.45
27-March-2019,1310.00,1318.55,1302.25,1316.30,1310.244749301930314434,8237,528,10792486.00,2142,26.00,16.30,6.30
26-March-2019,1316.85,1318.55,1295.70,1306.80,1308.449845360824742268,19400,698,25383927.00,1834,9.45,22.85,-10.05
25-March-2019,1320.00,1334.40,1313.00,1316.80,1323.007371815967879944,15193,467,20100451.00,2472,16.27,21.40,-3.20
22-March-2019,1330.00,1339.25,1322.20,1325.85,1328.665830628503983475,6778,363,9005697.00,1491,22.00,17.05,-4.15
20-March-2019,1335.00,1358.70,1327.15,1330.30,1345.570414875433780494,38614,1421,51957856.00,4872,12.62,31.55,-4.70
19-March-2019,1321.15,1335.00,1314.55,1330.45,1323.175477309795644248,10423,592,13791458.00,1926,18.48,20.45,9.30
18-March-2019,1342.75,1342.75,1315.10,1318.40,1325.998754996396042199,15261,806,20236067.00,4594,30.10,27.65,-24.35
15-March-2019,1320.00,1347.70,1320.00,1336.05,1336.574042895834858355,27322,1003,36517876.00,4876,17.85,27.70,16.05
14-March-2019,1330.00,1340.20,1315.60,1319.80,1322.980059732958538299,11384,767,15060805.00,2942,25.84,24.60,-10.20
13-March-2019,1330.20,1343.10,1324.00,1334.45,1334.460665491405905685,18152,859,24223130.00,3127,17.23,19.10,4.25
12-March-2019,1330.00,1341.60,1318.90,1322.85,1331.663942899335466404,20315,1031,27052753.00,3651,17.97,22.70,-7.15
11-March-2019,1310.00,1332.20,1309.60,1327.55,1322.564625850340136054,17787,595,23524457.00,1876,10.55,22.60,17.55
8-March-2019,1320.00,1325.00,1307.45,1312.95,1314.349135733815283377,21579,745,28362340.00,5746,26.63,17.55,-7.05
7-March-2019,1315.00,1349.45,1315.00,1321.80,1333.830126713922110621,36539,1433,48736819.00,6094,16.68,34.45,6.80
6-March-2019,1315.00,1322.20,1307.30,1316.95,1314.621742181234963913,39904,1311,52458666.00,18278,45.80,14.90,1.95
5-March-2019,1322.05,1329.60,1309.00,1313.40,1317.483842984168293211,9222,486,12149836.00,1936,20.99,20.60,-8.65
1-March-2019,1328.20,1332.00,1310.00,1325.75,1322.966286644951140065,12280,510,16246026.00,2463,20.06,22.00,-2.45
28-February-2019,1317.00,1330.55,1313.00,1318.95,1320.673363304298960382,7118,436,9400553.00,1275,17.91,17.55,1.95
27-February-2019,1314.00,1340.60,1314.00,1317.90,1327.551893383011500017,27913,1061,37055956.00,4725,16.93,26.60,3.90
26-February-2019,1295.55,1328.00,1288.80,1313.85,1312.192425924344633250,23422,2370,30734171.00,2576,11.00,39.20,18.30
25-February-2019,1287.70,1319.00,1287.70,1314.55,1305.287357481586116436,19822,683,25873406.00,2339,11.80,31.30,26.85
22-February-2019,1290.80,1305.80,1276.95,1283.20,1289.051387381801271120,25804,904,33262682.00,5524,21.41,28.85,-7.60
21-February-2019,1290.00,1327.70,1287.30,1290.80,1308.597271898450101690,28518,1258,37318577.00,3026,10.61,40.40,0.80
20-February-2019,1270.10,1299.00,1266.35,1290.90,1280.304717873279394767,19034,1003,24369320.00,1776,9.33,32.65,20.80
19-February-2019,1278.00,1290.25,1272.60,1278.50,1280.593575207860922146,13230,1339,16942253.00,1722,13.02,17.65,0.50
18-February-2019,1280.00,1295.45,1254.15,1280.95,1276.110092452903175892,25851,2763,32988722.00,3908,15.12,41.30,0.95
15-February-2019,1300.00,1306.00,1258.45,1265.30,1277.355613326948074160,14617,1687,18671107.00,2812,19.24,47.55,-34.70
14-February-2019,1301.05,1313.00,1290.15,1304.60,1302.381206204707432472,16697,834,21745859.00,3463,20.74,22.85,3.55
13-February-2019,1292.20,1314.40,1283.15,1306.95,1300.731609674728940783,17985,1459,23393658.00,1503,8.36,31.25,14.75
