Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-April-2020,87.70,89.95,84.50,89.35,88.479657853599548817,1180898,3032,104485451.00,623351,52.79,5.45,1.65
15-April-2020,88.05,89.45,86.15,86.60,88.113048542167123026,357174,2648,31471690.00,85931,24.06,3.30,-1.45
13-April-2020,90.00,90.00,83.85,86.05,86.006536467444893285,377268,2871,32447514.00,67483,17.89,6.15,-3.95
9-April-2020,88.00,90.25,86.85,87.75,88.066696446914822835,530553,3938,46724050.00,118638,22.36,3.40,-0.25
8-April-2020,86.50,94.85,84.00,85.65,89.638006878119342076,1043890,7482,93572219.00,204332,19.57,10.85,-0.85
7-April-2020,85.00,86.45,82.55,84.50,84.600330841523349934,730259,4620,61780153.00,174201,23.85,3.90,-0.50
3-April-2020,76.05,81.95,75.50,80.85,79.451852114099256381,677901,4177,53860490.00,144952,21.38,6.45,4.80
1-April-2020,76.00,78.70,74.55,75.75,76.340781298589207404,630284,3402,48116373.00,126254,20.03,4.15,-0.25
31-March-2020,71.50,77.70,71.50,76.45,75.465891174593640902,639336,4643,48248061.00,220153,34.43,6.20,4.95
30-March-2020,69.20,72.50,67.60,70.90,70.839508142818459634,413616,2922,29300354.00,81538,19.71,4.90,1.70
27-March-2020,74.95,75.00,69.15,69.50,71.034255650454398074,749453,4666,53236836.00,351506,46.90,5.85,-5.45
26-March-2020,76.25,77.00,72.20,73.00,73.992265868632383652,603817,3341,44677788.00,224389,37.16,4.80,-3.25
25-March-2020,77.00,78.95,74.35,75.40,75.992844632756774937,487606,4082,37054567.00,179036,36.72,4.60,-1.60
24-March-2020,78.20,82.05,75.20,76.40,78.222281207341119369,461510,2949,36100365.00,82095,17.79,6.85,-1.80
23-March-2020,76.70,80.35,72.85,78.10,76.893288747401186073,423751,4808,32583608.00,95478,22.53,7.50,1.40
20-March-2020,69.55,82.30,69.55,80.90,77.801588216057028699,1180318,6267,91830615.00,202279,17.14,12.75,11.35
19-March-2020,69.50,72.25,65.70,69.45,68.974826387549584271,648139,5543,44705275.00,167651,25.87,6.55,-0.05
18-March-2020,75.00,76.25,69.25,71.00,71.518414236523752932,492255,4668,35205297.00,152914,31.06,7.00,-4.00
17-March-2020,78.10,80.75,73.00,74.40,77.918033715690000731,423601,3205,33006157.00,124876,29.48,7.75,-3.70
16-March-2020,83.40,83.40,77.50,78.10,80.022870400134170032,357755,4904,28628582.00,150352,42.03,5.90,-5.30
13-March-2020,76.05,87.75,67.10,84.60,78.181438566364308728,1176310,7467,91965608.00,284000,24.14,20.65,8.55
12-March-2020,85.50,88.60,79.20,79.90,82.748324373576309794,1097500,6774,90816286.00,400942,36.53,9.40,-5.60
11-March-2020,97.40,97.50,90.00,90.40,92.152235343226834843,3804248,7321,350569957.00,3190222,83.86,7.50,-7.00
9-March-2020,104.90,104.90,99.55,100.35,101.218644100659443878,464179,4638,46983569.00,240005,51.71,5.35,-4.55
6-March-2020,104.80,108.25,102.45,107.85,107.274517678373009798,1110566,3103,119135432.00,741898,66.80,5.80,3.05
5-March-2020,109.50,111.05,105.85,106.85,107.732589778028181048,374507,2338,40346609.00,66598,17.78,5.20,-2.65
4-March-2020,104.00,106.90,102.50,106.00,105.085963631505365569,419154,2802,44047202.00,67872,16.19,4.40,2.00
3-March-2020,100.00,103.65,99.60,103.25,101.478249165022349888,338033,2928,34302997.00,61947,18.33,4.05,3.25
2-March-2020,107.00,107.25,98.45,99.60,102.890922921731077706,544239,5475,55997253.00,178018,32.71,8.80,-7.40
28-February-2020,103.75,108.50,102.05,104.55,105.853525102843623221,422243,3969,44695910.00,112474,26.64,6.45,0.80
27-February-2020,108.00,108.25,105.15,107.40,106.634162699234113020,483100,5563,51514964.00,161577,33.45,3.10,-0.60
26-February-2020,114.75,114.75,107.60,108.00,110.021296889823337863,390010,3264,42909406.00,137516,35.26,7.15,-6.75
25-February-2020,118.50,118.50,113.55,114.05,114.973373645922943932,239462,1868,27531754.00,75689,31.61,4.95,-4.45
24-February-2020,119.80,119.80,116.35,116.85,117.620963424703523241,110211,1438,12963124.00,36444,33.07,3.45,-2.95
20-February-2020,119.00,121.00,118.75,119.30,119.671831721975437679,153080,1610,18319364.00,61740,40.33,2.25,0.30
19-February-2020,119.00,120.95,118.85,119.85,119.855065095418807764,165219,1046,19802334.00,25542,15.46,2.10,0.85
18-February-2020,118.50,119.75,116.95,119.45,118.595860895860895860,211640,1695,25099628.00,25416,12.01,2.80,0.95
17-February-2020,121.30,121.30,117.25,118.05,118.726724098588184129,372499,3169,44225586.00,72277,19.40,4.05,-3.25
14-February-2020,130.40,131.40,122.05,122.60,125.517810427172598066,554647,3858,69618077.00,154882,27.92,9.35,-7.80
13-February-2020,130.50,132.50,129.35,130.30,131.008608780374307443,343835,2827,45045345.00,89180,25.94,3.15,-0.20
12-February-2020,130.45,130.90,127.55,130.30,129.354011632652336999,281793,2639,36451055.00,85138,30.21,3.35,-0.15
11-February-2020,124.00,129.85,123.60,129.10,127.838156505761747649,905628,5657,115773814.00,212391,23.45,6.25,5.10
10-February-2020,125.00,125.00,119.35,121.80,121.432562533610453032,688030,4800,83549246.00,129867,18.88,5.65,-3.20
7-February-2020,123.95,124.70,122.20,123.00,123.315690276631780084,115135,803,14197952.00,31271,27.16,2.50,-0.95
6-February-2020,123.00,124.35,121.50,123.75,122.804628786613583592,185621,2692,22795118.00,65202,35.13,2.85,0.75
5-February-2020,119.40,121.40,118.35,120.85,120.298872085741637814,277858,4892,33426004.00,82541,29.71,3.05,1.45
4-February-2020,116.80,119.20,115.50,118.90,117.754942880609273501,267860,3490,31541839.00,57892,21.61,3.70,2.10
3-February-2020,116.30,119.40,114.00,114.45,117.088875508301921030,242474,3541,28391008.00,80582,33.23,5.40,-1.85
1-February-2020,121.45,124.10,114.90,116.75,120.180792557702873541,749876,6181,90120692.00,228889,30.52,9.20,-4.70
31-January-2020,123.30,124.45,119.40,120.45,121.107751419294191053,243607,2775,29502696.00,98105,40.27,5.05,-2.85
30-January-2020,126.25,126.40,123.00,123.30,124.523923565019455430,219219,3544,27298010.00,92132,42.03,3.40,-2.95
29-January-2020,127.50,128.65,125.70,126.25,126.889800687533271377,221662,2543,28126647.00,64961,29.31,2.95,-1.25
28-January-2020,127.60,127.60,125.30,126.15,126.528813383388405446,173409,2102,21941235.00,44173,25.47,2.30,-1.45
27-January-2020,129.50,129.50,125.15,126.35,127.366481848786123337,241499,4063,30758878.00,74985,31.05,4.35,-3.15
24-January-2020,131.70,131.70,129.10,129.50,130.364414834967534250,236711,3153,30858691.00,64993,27.46,2.60,-2.20
23-January-2020,126.00,130.65,125.40,129.60,128.475508616708393087,411410,3335,52856109.00,72910,17.72,5.25,3.60
22-January-2020,127.10,127.65,125.55,125.85,126.275385400292325087,145044,2315,18315487.00,49554,34.16,2.10,-1.25
21-January-2020,128.60,129.60,126.35,126.75,128.095029767652763899,357267,3590,45764127.00,96429,26.99,3.25,-1.85
20-January-2020,126.95,129.00,124.75,127.85,127.133917053663570691,372096,3096,47306022.00,84769,22.78,4.25,0.90
17-January-2020,127.50,127.50,122.80,126.35,126.126778861465595802,317127,3801,39998207.00,71882,22.67,4.70,-1.15
16-January-2020,133.00,133.30,128.35,128.80,130.163554747320061255,522400,5425,67997441.00,181270,34.70,4.95,-4.20
15-January-2020,130.10,132.10,128.75,131.65,130.525551966593443782,330953,3380,43197823.00,87479,26.43,3.35,1.55
14-January-2020,129.90,132.90,128.70,130.00,130.690092584895465314,769888,7898,100616734.00,251792,32.70,4.20,0.10
13-January-2020,126.00,129.20,124.95,128.90,127.414434536642577484,231916,2534,29549446.00,75513,32.56,4.25,2.90
10-January-2020,125.30,127.65,124.35,125.40,126.306240565081224793,355064,2938,44846799.00,109028,30.71,3.30,0.10
9-January-2020,124.60,125.25,123.20,123.60,123.884443417024227696,177359,1649,21972021.00,51156,28.84,2.05,-1.00
8-January-2020,123.45,124.40,122.65,123.85,123.608684885327879983,125183,1341,15473706.00,24548,19.61,1.75,0.40
7-January-2020,123.55,126.00,123.55,124.40,124.925135148717433287,278582,3044,34801894.00,102733,36.88,2.45,0.85
6-January-2020,125.70,126.20,122.85,124.55,124.228747092285206507,291466,2113,36208456.00,57536,19.74,3.35,-1.15
3-January-2020,123.80,128.75,123.80,125.70,126.783445430828270529,719463,6441,91215998.00,108977,15.15,4.95,1.90
2-January-2020,121.90,124.00,120.65,123.45,122.565630169608609500,220036,2765,26968851.00,62145,28.24,3.35,1.55
1-January-2020,122.00,122.00,119.75,121.00,120.657979642494890235,196193,1688,23672251.00,27898,14.22,2.25,-1.00
